Case Name,Appeal Number,Release Date,Status,File Path,PDF URL,Pages,Chunks
"MAXLINEAR, INC. v. CF CRESPE LLC [OPINION]",17-1039,2018-01-25,completed,,https://cafc.uscourts.gov/opinions-orders/17-1039.Opinion.1-23-2018.1.PDF,9,5
"GLYCINE & MORE, INC. v. US [OPINION]",17-1312,2018-01-23,completed,,https://cafc.uscourts.gov/opinions-orders/17-1312.Opinion.1-19-2018.1.PDF,20,10
"IN RE: JANSSEN BIOTECH, INC. [OPINION]",17-1257,2018-01-23,completed,,https://cafc.uscourts.gov/opinions-orders/17-1257.Opinion.1-19-2018.1.PDF,18,9
AGUSTAWESTLAND NORTH AMERICA v. US [OPINION],17-1082,2018-01-23,completed,,https://cafc.uscourts.gov/opinions-orders/17-1082.Opinion.1-19-2018.1.PDF,15,8
CHANGZHOU TRINA SOLAR ENERGY v. ITC [OPINION],16-1053,2018-01-22,completed,,https://cafc.uscourts.gov/opinions-orders/16-1053.Opinion.1-18-2018.1.PDF,16,8
"FLEXUSPINE, INC. v. GLOBUS MEDICAL, INC. [OPINION]",17-1188,2018-01-19,completed,,https://cafc.uscourts.gov/opinions-orders/17-1188.Opinion.1-17-2018.1.PDF,14,7
SECURIFORCE INTERNATIONAL v. US [OPINION],16-2589,2018-01-17,completed,,https://cafc.uscourts.gov/opinions-orders/16-2589.Opinion.1-12-2018.1.PDF,22,11
EXMARK MANUFACTURING COMPANY v. BRIGGS & STRATTON POWER [OPINION],16-2197,2018-01-12,completed,,https://cafc.uscourts.gov/opinions-orders/16-2197.Opinion.1-10-2018.1.PDF,33,17
"FINJAN, INC. v. BLUE COAT SYSTEMS, INC. [OPINION]",16-2520,2018-01-10,completed,,https://cafc.uscourts.gov/opinions-orders/16-2520.Opinion.1-8-2018.1.PDF,25,13
UNITED STATES CAPITOL POLICE v. OOC [OPINION],16-2712,2018-01-08,completed,,https://cafc.uscourts.gov/opinions-orders/16-2712.Opinion.1-4-2018.1.PDF,17,9
MONSANTO TECHNOLOGY LLC v. E.I. DUPONT DE NEMOURS [OPINION],17-1032,2018-01-05,completed,,https://cafc.uscourts.gov/opinions-orders/17-1032.Opinion.1-4-2018.1.PDF,21,11
"PLEASURE-WAY INDUSTRIES, INC. v. US [OPINION]",17-1190,2018-01-05,completed,,https://cafc.uscourts.gov/opinions-orders/17-1190.Opinion.1-3-2018.1.PDF,14,7
CAPELLA SALES & SERVICES LTD. v. US [OPINION],16-2649,2018-01-04,completed,,https://cafc.uscourts.gov/opinions-orders/16-2649.Opinion.1-2-2018.1.PDF,11,6
"ALPINE PCS, INC. v. US [OPINION]",17-1029,2018-01-02,completed,,https://cafc.uscourts.gov/opinions-orders/17-1029.Opinion.12-28-2017.1.PDF,21,11
BRYANT v. MSPB [OPINION],17-1241,2017-12-29,completed,,https://cafc.uscourts.gov/opinions-orders/17-1241.Opinion.12-28-2017.1.PDF,14,7
Henderson v. Department of Veterans Affairs,2017-1071,2017-12-26,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/17-1071.Opinion.12-21-2017.1.PDF,13,7
BOSCH AUTOMOTIVE SERVICE v. MATAL [OPINION],15-1928,2017-12-22,completed,,https://cafc.uscourts.gov/opinions-orders/15-1928.Opinion.12-21-2017.1.PDF,24,12
"CHEMTALL, INC. v. US [OPINION]",16-2380,2017-12-21,completed,,https://cafc.uscourts.gov/opinions-orders/16-2380.Opinion.12-19-2017.1.PDF,23,12
"Travel Sentry, Inc. v. David Tropp","2016-2386, 2016-2387, 2016-2714, 2017-1025",2017-12-19,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-2386.Opinion.12-18-2017.1.PDF,30,15
CREDIFORD v. SHULKIN [OPINION],16-1386,2017-12-18,completed,,https://cafc.uscourts.gov/opinions-orders/16-1386.Opinion.12-14-2017.1.PDF,13,6
HTC CORPORATION v. CELLULAR COMMUNICATIONS EQUIP. [OPINION],16-1880,2017-12-18,completed,,https://cafc.uscourts.gov/opinions-orders/16-1880.Opinion.12-14-2017.1.PDF,15,8
IN RE: ERIK BRUNETTI [OPINION],15-1109,2017-12-15,completed,,https://www.cafc.uscourts.gov/opinions-orders/23-1539.OPINION.8-26-2025_2563636.pdf,24,12
EBANKS v. SHULKIN [OPINION],17-1277,2017-12-14,completed,,https://cafc.uscourts.gov/opinions-orders/17-1277.Opinion.12-13-2017.1.PDF,6,3
AMGEN INC. v. SANDOZ [OPINION],15-1499,2017-12-14,completed,,https://cafc.uscourts.gov/opinions-orders/15-1499.Opinion.12-13-2017.1.PDF,24,12
LENTZ v. MSPB [OPINION],17-1285,2017-12-12,completed,,https://cafc.uscourts.gov/opinions-orders/17-1285.Opinion.12-7-2017.1.PDF,11,6
"INVENTOR HOLDINGS, LLC v. BED BATH & BEYOND, INC. [OPINION]",16-2442,2017-12-08,completed,,https://cafc.uscourts.gov/opinions-orders/16-2442.Opinion.12-6-2017.1.PDF,14,7
"Nobelbiz, Inc. v. Global Connect, L.L.C.",16-1104,2017-12-08,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1104.Order.12-6-2017.1.PDF,9,5
ARCTIC CAT INC. v. BOMBARDIER RECREATIONAL [OPINION],17-1475,2017-12-07,completed,,https://cafc.uscourts.gov/opinions-orders/17-1475.Opinion.12-5-2017.1.PDF,31,16
"CRFD RESEARCH, INC. v. MATAL [OPINION]",16-2198,2017-12-05,completed,,https://cafc.uscourts.gov/opinions-orders/16-2198.Opinion.12-4-2017.1.PDF,36,18
MORRISON v. NAVY [OPINION],16-2542,2017-11-29,completed,,https://cafc.uscourts.gov/opinions-orders/16-2542.Opinion.11-27-2017.1.PDF,9,5
"PRESIDIO COMPONENTS, INC. v. AMERICAN TECHNICAL CERAMICS [OPINION]",16-2607,2017-11-21,completed,,https://cafc.uscourts.gov/opinions-orders/16-2607.Opinion.11-17-2017.1.PDF,23,12
BASF CORPORATION v. JOHNSON MATTHEY INC. [OPINION],16-1770,2017-11-20,completed,,https://cafc.uscourts.gov/opinions-orders/16-1770.Opinion.11-16-2017.1.PDF,14,7
"IN RE: MICRON TECHNOLOGY, INC. [MOTION PANEL ORDER]",17-138,2017-11-15,completed,,https://cafc.uscourts.gov/opinions-orders/17-138.Motion_Panel_Order.11-13-2017.1.PDF,19,10
Promega Corp. v. Life Technologies Corp.,"2013-1011, 2013-1029, 2013-1376",2017-11-13,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/13-1011.Opinion.11-9-2017.1.PDF,28,14
SANOFI v. WATSON LABORATORIES INC. [OPINION],16-2722,2017-11-09,completed,,https://cafc.uscourts.gov/opinions-orders/16-2722.Opinion.11-7-2017.1.PDF,25,13
SIMMONS v. HHS [OPINION],17-1405,2017-11-07,completed,,https://cafc.uscourts.gov/opinions-orders/17-1405.Opinion.10-31-2017.1.PDF,7,4
Freeman v. United States,2016-2694,2017-11-03,completed,,http://www.cafc.uscourts.gov/sites/default/files/s16-2694.Opinion.10-31-2017.2.pdf,15,8
Ingham Regional Medical Center v. United States,2016-2081,2017-11-03,completed,,http://www.cafc.uscourts.gov/sites/default/files/16-2081.Opinion.11-1-2017.1.pdf,13,7
TWO-WAY MEDIA LTD. v. COMCAST CABLE COMMUNICATIONS [OPINION],16-2531,2017-11-01,completed,,https://cafc.uscourts.gov/opinions-orders/16-2531.Opinion.10-27-2017.1.PDF,17,9
"BAYER PHARMA AG v. WATSON LABORATORIES, INC. [OPINION]",16-2169,2017-11-01,completed,,https://cafc.uscourts.gov/opinions-orders/16-2169.Opinion.10-30-2017.1.PDF,22,11
"MASTERMINE SOFTWARE, INC. v. MICROSOFT CORPORATION [OPINION]",16-2465,2017-10-30,completed,,https://cafc.uscourts.gov/opinions-orders/16-2465.Opinion.10-26-2017.1.PDF,17,9
"Smart Systems Innovations, LLC v. Chicago Transit Authority",16-1233,2017-10-19,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1233.Errata.10-19-2017.1.PDF,1,1
"SECURED MAIL SOLUTIONS LLC v. UNIVERSAL WILDE, INC. [OPINION]",16-1728,2017-10-16,completed,,https://cafc.uscourts.gov/opinions-orders/16-1728.Opinion.10-12-2017.1.PDF,14,7
"Federal Education Ass'n-Stateside Region v. Department of Defense, Domestic Dependents Elementary & Secondary School",2015-3173,2017-10-13,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/15-3173.Order.10-12-2017.1.PDF,4,2
OWENS CORNING v. FAST FELT CORPORATION [OPINION],16-2613,2017-10-11,completed,,https://cafc.uscourts.gov/opinions-orders/16-2613.Opinion.10-6-2017.1.PDF,12,6
ORGANIK KIMYA AS v. ROHM AND HAAS COMPANY [OPINION],15-1983,2017-10-11,completed,,https://cafc.uscourts.gov/opinions-orders/15-1983.Opinion.10-5-2017.1.PDF,16,8
AMGEN INC. v. SANOFI [OPINION],17-1480,2017-10-05,completed,,https://cafc.uscourts.gov/opinions-orders/17-1480.Opinion.10-2-2017.1.PDF,24,12
JANG v. BOSTON SCIENTIFIC CORPORATION [OPINION],16-1275,2017-09-29,completed,,https://cafc.uscourts.gov/opinions-orders/16-1275.Opinion.9-27-2017.1.PDF,25,13
"ARISTA NET 2 WORKS, INC. v. ITC [OPINION]",16-2563,2017-09-27,completed,,https://cafc.uscourts.gov/opinions-orders/16-2563_opinion.pdf,16,8
"IN RE: SMITH INTERNATIONAL, INC. [OPINION]",16-2303,2017-09-26,completed,,https://cafc.uscourts.gov/opinions-orders/16-2303.Opinion.9-22-2017.1.PDF,15,8
IN RE: CRAY INC.,17-129,2017-09-21,completed,,https://cafc.uscourts.gov/opinions-orders/Cray_2017-129_9.21.17_ORDER.pdf,20,10
"NFC TECHNOLOGY, LLC v. MATAL [OPINION]",16-1808,2017-09-20,completed,,https://cafc.uscourts.gov/opinions-orders/16-1808.Opinion.9-18-2017.1.PDF,14,7
GOODMAN v. SHULKIN [OPINION],16-2142,2017-09-18,completed,,https://cafc.uscourts.gov/opinions-orders/16-2142.Opinion.9-15-2017.1.PDF,11,6
"IDEMITSU KOSAN CO., LTD. v. SFC CO. LTD. [OPINION]",16-2721,2017-09-15,completed,,https://cafc.uscourts.gov/opinions-orders/16-2721.Opinion.9-14-2017.1.PDF,12,6
FIRST DATA CORPORATION v. INSELBERG [OPINION],16-2677,2017-09-15,completed,,https://cafc.uscourts.gov/opinions-orders/16-2677.Opinion.9-14-2017.1.PDF,15,8
"WAYMO LLC v. UBER TECHNOLOGIES, INC. [OPINION]",17-2130,2017-09-13,completed,,https://cafc.uscourts.gov/opinions-orders/17-2130.Opinion.9-11-2017.1.PDF,15,8
"ALLIED MINERAL PRODUCTS, INC. v. OSMI, INC. [OPINION]",16-2641,2017-09-13,completed,,https://cafc.uscourts.gov/opinions-orders/16-2641.Opinion.9-11-2017.1.PDF,8,4
"WAYMO LLC v. UBER TECHNOLOGIES, INC. [OPINION]",17-2235,2017-09-13,completed,,https://cafc.uscourts.gov/opinions-orders/17-2235.Opinion.9-11-2017.1.PDF,25,13
LUMMI TRIBE v. US [OPINION],16-2196,2017-09-12,completed,,https://cafc.uscourts.gov/opinions-orders/16-2196.Opinion.8-31-2017.1.PDF,12,6
SOUTHWIRE COMPANY v. CERRO WIRE LLC [OPINION],16-2287,2017-09-08,completed,,https://cafc.uscourts.gov/opinions-orders/16-2287.Opinion.9-7-2017.1.PDF,11,6
Intercontinental Great Brands v. Kellogg North America Company,15-2082,2017-09-08,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/15-2082.Errata.9-8-2017.1.PDF,1,1
KISOR v. SHULKIN [OPINION],16-1929,2017-09-07,completed,,https://cafc.uscourts.gov/opinions-orders/16-1929.Opinion.9-5-2017.1.PDF,18,9
PICCOLO v. MSPB [OPINION],16-2374,2017-09-07,completed,,https://cafc.uscourts.gov/opinions-orders/16-2374.Opinion.9-5-2017.1.PDF,4,2
"LIFETIME INDUSTRIES, INC. v. TRIM-LOK, INC. [OPINION]",17-1096,2017-09-07,completed,,https://cafc.uscourts.gov/opinions-orders/17-1096.Opinion.9-6-2017.1.PDF,17,9
YANKO v. US [OPINION],17-1177,2017-09-06,completed,,https://cafc.uscourts.gov/opinions-orders/17-1177.Opinion.9-1-2017.1.PDF,15,8
"Nantkwest, Inc. v. Matal",2016-1794,2017-08-31,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1794.Order.8-30-2017.1.PDF,3,2
"VICOR CORPORATION v. SYNQOR, INC. [OPINION]",16-2283,2017-08-30,completed,,https://cafc.uscourts.gov/opinions-orders/16-2283.Opinion.8-29-2017.1.PDF,31,16
HARRIS v. US [OPINION],17-1912,2017-08-29,completed,,https://cafc.uscourts.gov/opinions-orders/17-1912.Opinion.8-25-2017.1.PDF,10,5
"ULTRATEC, INC. v. CAPTIONCALL, LLC [OPINION]",16-1706,2017-08-28,completed,,https://cafc.uscourts.gov/opinions-orders/16-1706.Opinion.8-24-2017.1.PDF,16,8
IN RE: STEPAN COMPANY [OPINION],16-1811,2017-08-25,completed,,https://cafc.uscourts.gov/opinions-orders/17-1907.opinion.9-10-2018.pdf,16,8
"Alvarado Hospital, LLC v. Cochran",16-1356,2017-08-22,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1356.Errata.8-22-2017.1.PDF,3,2
GAZELLE v. SHULKIN [OPINION],16-1932,2017-08-22,completed,,https://cafc.uscourts.gov/opinions-orders/16-1932.Opinion.8-21-2017.1.PDF,10,5
Ipcom Gmbh & Co. v. Htc Corporation,16-1474,2017-08-21,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1474.Errata.8-18-2017.1.PDF,2,1
"AMGEN INC. v. HOSPIRA, INC. [OPINION]",16-2179,2017-08-10,completed,,https://cafc.uscourts.gov/opinions-orders/16-2179.Opinion.8-8-2017.1.PDF,14,7
RUMSEY v. DOJ [OPINION],16-2661,2017-08-10,completed,,https://cafc.uscourts.gov/opinions-orders/16-2661.Opinion.8-8-2017.1.PDF,13,7
"AIRPORT ROAD ASSOCIATES, LTD. v. US [OPINION]",16-1542,2017-08-10,completed,,https://cafc.uscourts.gov/opinions-orders/16-1542.Opinion.8-8-2017.1.PDF,15,8
IN RE: NORTH CAROLINA LOTTERY [OPINION],16-2558,2017-08-10,completed,,https://cafc.uscourts.gov/opinions-orders/16-2558.Opinion.8-8-2017.1.PDF,8,4
"AIA AMERICA, INC. v. AVID RADIOPHARMACEUTICALS [OPINION]",16-2647,2017-08-10,completed,,https://cafc.uscourts.gov/opinions-orders/16-2647.Opinion.8-8-2017.1.PDF,9,5
"IN RE: I.AM.SYMBOLIC, LLC [OPINION]",16-1507,2017-08-08,completed,,https://cafc.uscourts.gov/opinions-orders/16-1507.Opinion.8-7-2017.1.PDF,22,11
DIAMOND SAWBLADES MANUFACTURER v. US [OPINION],16-1253,2017-08-07,completed,,https://cafc.uscourts.gov/opinions-orders/16-1253.Opinion.8-4-2017.1.PDF,20,10
"Personal Audio, LLC v. Electronic Frontier Foundation",2016-1123,2017-08-07,completed,,https://www.courtlistener.com/pdf/4416580/,13,7
"LEE'S FORD DOCK, INC. v. SECRETARY OF THE ARMY [OPINION]",16-2308,2017-08-02,completed,,https://cafc.uscourts.gov/opinions-orders/16-2308.Opinion.7-31-2017.1.PDF,19,10
GEORGETOWN RAIL 2 EQUIPMENT v. HOLLAND L.P. [OPINION],16-2297,2017-08-01,completed,,https://cafc.uscourts.gov/opinions-orders/16-2297_unsealed_opn.pdf,26,13
Honeywell International Inc. v. Mexichem Amanco Holding S.A. De C.V.,2016-1996,2017-08-01,completed,,https://storage.courtlistener.com/pdf/2017/08/01/honeywell_international_inc._v._mexichem_amanco_holding_s.a..pdf,1,12
"Helsinn Healthcare S.A. v. Teva Pharmaceuticals USA, Inc.",16-1284,2017-07-31,completed,,http://www.cafc.uscourts.gov/sites/default/files/sHelsinn_16-1284_7.28.17_TD_ERRATUM.pdf,1,1
"EARNHARDT v. KERRY EARNHARDT, INC. [OPINION]",16-1939,2017-07-27,completed,,https://cafc.uscourts.gov/opinions-orders/16-1939.Opinion.7-25-2017.1.PDF,11,6
"Soft Gel Technologies, Inc. v. Jarrow Formulas, Inc.",16-1814,2017-07-26,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1814.Opinion.7-24-2017.1.PDF,17,9
Musselman v. Army,16-2522,2017-07-20,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-2522.Order.6-26-2017.1.PDF,2,1
Fedora v. MSPB,15-3039,2017-07-20,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/15-3039.Order.6-26-2017.1.PDF,11,6
MISKILL v. SSA [OPINION],16-1598,2017-07-20,completed,,https://cafc.uscourts.gov/opinions-orders/16-1598.Opinion.7-18-2017.1.PDF,10,5
MANZANARES v. SHULKIN [OPINION],16-1946,2017-07-19,completed,,https://cafc.uscourts.gov/opinions-orders/16-1946.Opinion.7-17-2017.1.PDF,10,5
THE CONTAINER STORE v. US [OPINION],16-1666,2017-07-18,completed,,https://cafc.uscourts.gov/opinions-orders/16-1666.Opinion.7-14-2017.1.PDF,14,7
"PETRO-HUNT, L.L.C. v. US [OPINION]",16-1981,2017-07-17,completed,,https://cafc.uscourts.gov/opinions-orders/16-1981.Opinion.7-13-2017.1.PDF,28,14
MILLENNIUM PHARMACEUTICALS v. SANDOZ INC. [OPINION],15-2066,2017-07-17,completed,,https://cafc.uscourts.gov/opinions-orders/15-2066.Opinion.7-13-2017.1.PDF,22,11
JOHNSON v. SHULKIN [OPINION],16-2144,2017-07-14,completed,,https://cafc.uscourts.gov/opinions-orders/16-2144.Opinion.7-13-2017.1.PDF,11,6
Apex Frozen Foods Private Ltd. v. United States,15-2085,2017-07-12,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/15-2085.Opinion.7-11-2017.1.PDF,26,13
Apex Frozen Foods Private Ltd. v. United States,16-1789,2017-07-12,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1789.Opinion.7-11-2017.1.PDF,24,12
GENBAND US LLC v. METASWITCH NETWORKS CORP. [OPINION],17-1148,2017-07-10,completed,,https://cafc.uscourts.gov/opinions-orders/17-1148.Opinion.7-6-2017.1.PDF,13,7
Ipcom Gmbh & Co. v. Htc Corporation,2016-1474,2017-07-07,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1474.Opinion.7-6-2017.1.PDF,27,14
"ADJUSTACAM, LLC v. NEWEGG, INC. [OPINION]",16-1882,2017-07-05,completed,,https://cafc.uscourts.gov/opinions-orders/16-1882.Opinion.6-29-2017.1.PDF,16,8
MAVERICK TUBE CORPORATION v. US [OPINION],16-2330,2017-07-03,completed,,https://cafc.uscourts.gov/opinions-orders/16-2330.Opinion.6-29-2017.1.PDF,9,5
ADAMS v. US [OPINION],16-2361,2017-06-29,completed,,https://cafc.uscourts.gov/opinions-orders/16-2361.Opinion.6-28-2017.1.PDF,4,2
STANFORD UNIVERSITY v. THE CHINESE UNIV. OF HONG KONG [OPINION],15-2011,2017-06-27,completed,,https://cafc.uscourts.gov/opinions-orders/15-2011.Opinion.6-26-2017.1.PDF,20,10
STORER v. CLARK [OPINION],15-1802,2017-06-21,completed,,https://cafc.uscourts.gov/opinions-orders/15-1802.Opinion.6-19-2017.1.PDF,22,11
"NEXLEARN, LLC v. ALLEN INTERACTIONS, INC. [OPINION]",16-2170,2017-06-19,completed,,https://cafc.uscourts.gov/opinions-orders/16-2170.Opinion.6-14-2017.1.PDF,16,8
OUTDRY TECHNOLOGIES v. GEOX S.P.A. [OPINION],16-1769,2017-06-16,completed,,https://cafc.uscourts.gov/opinions-orders/16-1769.Opinion.6-14-2017.1.PDF,11,6
THE CLEVELAND CLINIC v. TRUE HEALTH DIAGNOSTICS LLC [OPINION],16-1766,2017-06-16,completed,,https://cafc.uscourts.gov/opinions-orders/16-1766.Opinion.6-14-2017.1.PDF,20,10
"Emerachem Holdings, LLC v. Volkswagen Group of America",16-1984,2017-06-16,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1984.Errata.6-16-2017.1.PDF,1,1
"EmeraChem Holdings, LLC v. Volkswagen Group of America, Inc.",2016-1984,2017-06-15,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1984.Opinion.6-13-2017.1.PDF,19,10
DAV v. SECRETARY OF VETERANS AFFAIRS [OPINION],16-1493,2017-06-14,completed,,https://cafc.uscourts.gov/opinions-orders/16-1493.Opinion.6-12-2017.1.PDF,10,5
"NEW WORLD INTERNATIONAL, INC. v. FORD GLOBAL TECHNOLOGIES, LLC [OPINION]",16-2097,2017-06-08,completed,,https://cafc.uscourts.gov/opinions-orders/16-2097.Opinion.6-6-2017.1.PDF,21,11
TARTAGLIA v. DVA [OPINION],16-2226,2017-06-08,completed,,https://cafc.uscourts.gov/opinions-orders/16-2226.Opinion.6-7-2017.1.PDF,8,4
LYONS v. THE AMERICAN COLLEGE [OPINION],16-2055,2017-06-08,completed,,https://cafc.uscourts.gov/opinions-orders/16-2055.Opinion.6-6-2017.1.PDF,17,9
SNYDER v. SECRETARY OF VETERANS AFFAIRS [OPINION],16-1529,2017-06-08,completed,,https://cafc.uscourts.gov/opinions-orders/16-1529.Opinion.6-6-2017.1.PDF,7,4
"SKKY, INC. v. MINDGEEK, S.A.R.L. [OPINION]",16-2018,2017-06-07,completed,,https://cafc.uscourts.gov/opinions-orders/16-2018.Opinion.6-5-2017.1.PDF,14,7
"CHECKPOINT SYSTEMS, INC. v. ALL-TAG SECURITY S.A. [OPINION]",16-1397,2017-06-05,completed,,https://cafc.uscourts.gov/opinions-orders/16-1397.Opinion.6-1-2017.1.PDF,9,5
EVANS v. BUILDING MATERIALS CORPORATION [OPINION],16-2427,2017-06-05,completed,,https://cafc.uscourts.gov/opinions-orders/16-2427.Opinion.6-1-2017.1.PDF,10,5
"Suntec Industries Co., Ltd. v. United States",16-2093,2017-06-02,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-2093.Errata.6-2-2017.1.PDF,1,1
Preston v. Nagel,16-1524,2017-06-01,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1524.Opinion.5-30-2017.1.PDF,8,4
KITLINSKI v. MSPB [OPINION],16-1498,2017-05-31,completed,,https://cafc.uscourts.gov/opinions-orders/16-1498.Opinion.5-26-2017.1.PDF,14,7
MAVERICK TUBE CORPORATION v. US [OPINION],16-1649,2017-05-30,completed,,https://cafc.uscourts.gov/opinions-orders/16-1649.Opinion.5-25-2017.1.PDF,18,9
"HALO ELECTRONICS, INC. v. PULSE ELECTRONICS, INC. [OPINION]",16-2006,2017-05-26,completed,,https://cafc.uscourts.gov/opinions-orders/16-2006.Opinion.5-24-2017.1.PDF,10,5
US v. AMERICAN HOME ASSURANCE CO. [OPINION],16-1088,2017-05-26,completed,,https://cafc.uscourts.gov/opinions-orders/16-1088.Opinion.5-25-2017.1.PDF,13,7
OLLIS v. SHULKIN [OPINION],16-1315,2017-05-26,completed,,https://cafc.uscourts.gov/opinions-orders/16-1315.Opinion.5-24-2017.1.PDF,18,9
LEE v. MSPB [OPINION],17-1232,2017-05-25,completed,,https://cafc.uscourts.gov/opinions-orders/17-1232.Opinion.5-23-2017.1.PDF,5,3
RIVERA v. ITC [OPINION],16-1841,2017-05-23,completed,,https://cafc.uscourts.gov/opinions-orders/16-1841.Opinion.5-19-2017.1.PDF,15,8
MYLAN INSTITUTIONAL LLC v. AUROBINDO PHARMA LTD. [OPINION],17-1645,2017-05-19,completed,,https://cafc.uscourts.gov/opinions-orders/17-1645.Opinion.5-17-2017.1.PDF,25,12
"ROVALMA, S.A. v. BOHLER-EDELSTAHL GMBH & CO. KG [OPINION]",16-2233,2017-05-11,completed,,https://cafc.uscourts.gov/opinions-orders/16-2233.Opinion.5-9-2017.1.PDF,18,9
"AYLUS NETWORKS, INC. v. APPLE INC. [OPINION]",16-1599,2017-05-11,completed,,https://cafc.uscourts.gov/opinions-orders/16-1599.Opinion.5-9-2017.1.PDF,19,10
NOVA CHEMICALS CORPORATION v. DOW CHEMICAL COMPANY [OPINION],16-1576,2017-05-11,completed,,https://cafc.uscourts.gov/opinions-orders/16-1576.Opinion.5-10-2017.1.PDF,12,6
"CISCO SYSTEMS, INC. v. CIRREX SYSTEMS, LLC [OPINION]",16-1143,2017-05-10,completed,,https://cafc.uscourts.gov/opinions-orders/16-1143.Opinion.5-9-2017.1.PDF,24,12
IN RE: AT&T INTELLECTUAL PROPERTY II [OPINION],16-1830,2017-05-10,completed,,https://cafc.uscourts.gov/opinions-orders/16-1830.Opinion.5-8-2017.1.PDF,11,6
HELMAN v. DVA [OPINION],15-3086,2017-05-09,completed,,https://cafc.uscourts.gov/opinions-orders/15-3086.Opinion.5-5-2017.1.PDF,31,16
BOOMERANG TUBE LLC v. US [OPINION],16-1554,2017-05-08,completed,,https://cafc.uscourts.gov/opinions-orders/16-1554.Opinion.5-4-2017.1.PDF,10,5
ADKINS v. US [OPINION],16-1961,2017-05-08,completed,,https://cafc.uscourts.gov/opinions-orders/16-1961.Opinion.5-5-2017.1.PDF,11,6
"IN RE: AFFINITY LABS OF TEXAS, LLC [OPINION]",16-1173,2017-05-05,completed,,https://cafc.uscourts.gov/opinions-orders/16-1173.Opinion.5-4-2017.1.PDF,10,5
"IN RE: AFFINITY LABS OF TEXAS, LLC [OPINION]",16-1092,2017-05-05,completed,,https://cafc.uscourts.gov/opinions-orders/16-1092.Opinion.5-4-2017.1.PDF,30,15
"Helsinn Healthcare S.A. v. Teva Pharmaceuticals USA, Inc.","2016-1284, 2016-1787",2017-05-01,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/16-1284.Opinion.4-27-2017.1.PDF,35,18
DELLEW CORPORATION v. US [OPINION],16-2304,2017-05-01,completed,,https://cafc.uscourts.gov/opinions-orders/16-2304.Opinion.4-27-2017.1.PDF,12,6
"CALL HENRY, INC. v. US [OPINION]",16-1732,2017-04-28,completed,,https://cafc.uscourts.gov/opinions-orders/16-1732.Opinion.4-26-2017.1.PDF,14,7
"NICHIA CORPORATION v. EVERLIGHT AMERICAS, INC. [OPINION]",16-1585,2017-04-28,completed,,https://cafc.uscourts.gov/opinions-orders/16-1585.Opinion.4-26-2017.1.PDF,26,13
"RECOGNICORP, LLC v. NINTENDO CO., LTD. [OPINION]",16-1499,2017-04-28,completed,,https://cafc.uscourts.gov/opinions-orders/16-1499.Opinion.4-26-2017.1.PDF,11,6
"Reoforce, Inc. v. United States",15-5084,2017-04-28,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/15-5084.Errata.4-27-2017.1.PDF,2,1
"NORTHWEST TITLE AGENCY, INC. v. US [OPINION]",16-2158,2017-04-28,completed,,https://cafc.uscourts.gov/opinions-orders/16-2158.Opinion.4-26-2017.1.PDF,7,4
"8X8, INC. v. US [OPINION]",16-1959,2017-04-27,completed,,https://cafc.uscourts.gov/opinions-orders/16-1959.Opinion.4-26-2017.1.PDF,11,6
SNYDER v. NAVY [OPINION],16-1940,2017-04-26,completed,,https://cafc.uscourts.gov/opinions-orders/16-1940.Opinion.4-24-2017.1.PDF,16,8
MONK v. SHULKIN [OPINION],15-7092,2017-04-26,completed,,https://cafc.uscourts.gov/opinions-orders/15-7092.Opinion.4-20-2017.1.PDF,18,9
"FAIRCHILD (TAIWAN) CORP. v. POWER INTEGRATIONS, INC. [MOTION PANEL ORDER]",17-1002,2017-04-21,completed,,https://cafc.uscourts.gov/opinions-orders/17-1002.Motion_Panel_Order.4-21-2017.1.PDF,4,2
